Hindi,English
मैं,I
नहीं,No
हैं,Are
में,In
एक,One
आप,You
लिए,For
यह,it
से,From
क्या,What
कि,That
तुम,You
हो,yes
मुझे,Me
को,To
हम,We
वह,He
हूँ,am
रहा,remained
अपने,Our
कुछ,Some?
इस,This
मेरे,My
करने,to
साथ,with
उसे,Him
हाँ,Yes
वे,They
लेकिन,But
यहाँ,Here
तुम्हें,to you
कोई,Any
अब,Now
पता,Address
बात,talk
दिया,Gave
करना,to do
जा,Go
सब,All
बारे,About
कहा,Said
जो,Who
वहाँ,There
जब,When
इसे,This
अच्छा,Good
बाहर,Outside
थे,Were
ले,Take
किसी,Any 
काम,Work
ये,These
कैसे,How
करते,Do
पहले,First
बस,Bus
जाएगा,will
कभी,Sometimes
समय,Time
वापस,Back
हमें,Us
रही,doing
आ,Come
तक,till
हमारे,Our
मेरा,My
करता,does
चाहता,wants
आपको,To you
जाना,Go
उन्हें,Them
हूं,Am
प्यार,Love
जरूरत,Need
पास,Near
कूड़े,Litter
